term,audio_score,baas_score
comic book writer,76.67,61.34
commander,78.25,4.7
company director,76.08,48.69
composer,76.75,36.84
computer programmer,76.02,10.64
construction worker,75.14,46.59
cook,76.3,64.09
counselor,78.26,28.17
dancer,77.44,23.23
decorator,76.74,61.39
delivery man,75.96,1.52
dentist,75.59,36.28
designer,77.16,40.12
detective,77.94,29.62
diplomat,77.98,40.55
director,75.32,16.57
doctor,78.29,14.09
drawer,77.25,32.44
economist,75.73,13.63
editor,77.32,18.56
electrician,76.21,7.62
engineer,75.55,16.62
entrepreneur,75.31,73.8
executive,76.16,24.37
farmer,75.42,55.81
film director,75.39,37.7
firefighter,75.95,71.39
flight attendant,75.41,51.28
football player,75.11,24.04
garbage collector,75.17,51.12
geologist,75.56,7.56
guard,77.66,24.85
guitarist,76.2,38.1
hairdresser,76.65,44.46
handball player,75.63,51.43
handyman,77.9,1.56
head teacher,76.4,70.29
historian,77.07,55.49
homemaker,77.62,3.1
housekeeper,78.49,6.28
illustrator,76.45,42.81
janitor,75.37,66.33
jeweler,77.07,72.45
journalist,77.27,37.09
judge,81.47,16.29
juggler,76.32,56.48
laborer,75.55,34.75
lawyer,80.15,9.62
lecturer,78.06,42.15
lexicographer,77.34,44.86
librarian,75.66,74.15
library assistant,76.44,64.21
linguist,76.59,41.36
magician,76.68,67.48
maid,79.03,0.0
makeup artist,77.92,49.87
manager,77.33,12.37
mathematician,78.7,26.76
mechanic,75.39,22.62
midwife,76.53,12.24
miner,75.33,33.15
model,77.83,20.24
mover,78.45,1.57
musician,75.39,51.27
nurse,76.39,33.61
opera singer,75.13,61.61
optician,77.95,6.24
painter,75.78,28.8
pensioner,76.64,35.25
performing artist,75.6,66.53
personal assistant,78.88,75.72
pharmacist,77.69,65.26
photographer,76.59,24.51
physician,76.85,24.59
physicist,77.72,21.76
pianist,75.81,54.58
pilot,75.01,16.5
plumber,76.59,22.98
poet,75.86,18.21
police officer,77.92,35.84
policeman,78.11,17.18
politician,75.82,22.75
porter,76.89,30.76
priest,75.45,30.18
printer,75.0,21.0
prison officer,75.84,33.37
prisoner,75.74,24.24
producer,78.34,48.57
professor,77.15,33.95
prosecutor,79.83,46.3
psychologist,79.06,12.65
puppeteer,76.95,69.25
,76.77,49.13
,78.39,73.69
receptionist,78.69,44.07
researcher,76.64,64.38
,74.99,15.0
,77.18,52.48
scientist,77.29,34.01
secretary,76.93,44.62
,77.95,56.12
,76.63,24.52
,77.33,57.22
,75.44,22.63
,76.22,32.01
,76.97,29.25
soldier,76.91,16.92
,78.91,18.94
,76.65,38.33
,75.66,27.24
,75.28,48.18
tailor,77.57,12.41
teacher,76.16,38.08
,83.32,51.66
,83.78,67.02
,75.26,40.64
,77.56,23.27
translator,75.95,33.42
,76.59,68.93
,75.0,36.0
,76.47,42.82
vet,76.45,58.1
waiter,75.81,65.2
waitress,77.1,4.63
,76.11,22.83
writer,76.04,53.23
